Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,126392224253.794,36.6694083813627,28.375445282081,2.66312868727133,1147.24405218622,1446.80465431153,82.1,7.90814465965804,78.7434647365086,31.386,63007815,3.68904,4.845670931,40.3912275638682
2001,120296476180.402,36.3210034946673,27.8267674786216,4.21223509530842,1168.68539717143,1502.1097579382,90.4,9.20035149384886,81.1944035340356,32.548,63651141,5.55633,11.86176404,40.3506543167023
2002,134300904400.022,36.8944314471526,28.5150317752876,2.48815301889834,1279.99042486205,1612.59912386305,91.0,7.26151926834414,81.9283608360686,33.734,64266437,7.53125,27.17095763,40.4326952705377
2003,152280615245.887,37.9181748920386,29.5805029456399,3.43593984811892,1373.72755382047,1705.21238414541,91.6,7.31046391356009,82.0314704145956,34.941,64868166,9.29903,33.37129642,40.5281267680848
2004,172895685154.658,37.9023024950671,29.4189680545022,3.38947495269123,1471.23364988111,1814.48870499039,92.2,7.93862893411916,82.0571987898801,36.169,65452047,10.6773,41.28780674,40.5277251520537
2005,189318408468.595,38.5052107116361,29.6150680597619,4.33958708070528,1499.68662816572,1897.36284756357,92.8,8.10532765493922,81.8133037575854,37.411,66017420,15.026,46.27713253,40.3222667651549
2006,221758296021.621,39.146855883906,30.1680799710117,4.0212567065949,1516.59361395567,1982.50842033914,99.1,8.05812227011287,81.5614334816661,38.673,66567687,17.1607,60.503253,39.7521062500821
2007,262942621455.053,39.4313718771557,30.5874496669954,3.28356939351343,1568.26753453834,2051.7151742753,94.1,6.46403213882186,81.1523351475608,39.95,67102394,20.03,79.27063763,38.7509301612035
2008,291382982430.951,39.4796129651304,30.5547305435118,2.93824905393328,1598.66546544113,2071.53729904379,94.8,6.07355554651147,80.5707908532285,41.242,67619830,18.2,91.84432107,37.3495127087413
2009,281710630187.319,38.6085988884387,29.4621400654976,2.27590224065624,1581.02756151253,2062.45996099886,99.0,5.91398574066337,80.1335424858594,42.543,68121080,20.1,97.25521206,35.5786281029176
2010,341104766329.17,39.9217256985357,30.9304788194459,4.32320928209174,1718.30045523698,2261.21683366738,99.7,6.34457943105026,79.9930566926308,43.856,68579447,22.4,105.0619397,33.4690505539545
2011,370818739623.622,37.9813982711097,28.9958809244545,0.667087644548593,1705.63030169254,2234.47672306928,99.3,6.94463142104352,80.1938891061772,44.698,69007208,23.6699,112.714004,29.0591951880929
2012,397558325278.579,37.343694137461,27.9727873518431,3.24456444314608,1817.44692796534,2387.30292707404,99.1,5.69500383582662,80.1621366082619,45.445,69436098,26.46,122.9260548,31.5886298984382
2013,420333654592.547,36.8985884648101,27.5886907461759,3.79126450872817,1943.10160335625,2453.5288180645,99.4,6.06746979468011,80.6669969491399,46.193,69845114,28.94,134.8819857,34.4883511418629
2014,407339040197.651,36.7630403655124,27.5735009565918,1.22145318013998,1919.15336491277,2474.52278469491,99.5,6.11120126106913,79.83902265055,46.943,70216367,34.8861,138.7860081,29.9705384622081
2015,401296238228.084,36.1791773262667,27.3740711959416,2.22468548959784,,,99.6,,,47.694,70540795,39.3161,146.4441042,28.1544413826202
2016,413366349747.508,35.586765405076,27.1442393688371,0.843364340718618,,,99.9,,,48.448,70859841,47.505,169.4859395,30.3985996204755
2017,456356813536.764,35.018759526322,27.0148154805347,1.81550260101987,,,99.9,,,49.2,71160187,52.8919,171.4147843,27.1006744719071
2018,506754208404.485,34.7424896675041,26.7128343918527,2.71279835138662,,,99.8,,,49.949,71376079,56.8175,175.8777812,30.0080973964844
2019,543976691793.886,33.5939105133265,25.6215964143658,1.01734877580041,,,99.9,,,50.692,71522271,66.6524,181.7670258,30.382756547172
2020,500461898480.246,33.2907229678575,25.5553325712421,-0.857989527274493,,,100.0,,,51.43,71641484,77.8437,162.7043297,31.0072016277159
2021,506256494297.34,35.0496469400617,27.1675994932487,3.03988153625607,,,100.0,,,52.163,71727332,85.2696,168.7823161,
2022,495645210972.751,35.1520930324896,27.0514900579842,2.39179594101395,,,99.9,,,52.889,71735329,87.9772,176.3169269,
